StateId,Year,Tpr_LT_1Mo,Tpr_1_to_5Mo,Tpr_6_to_11Mo,Tpr_12_to_17Mo,Tpr_18_to_23Mo,Tpr_24_to_29Mo,Tpr_30_to_35Mo,Tpr_3_to_4YR,Tpr_MT_5YR,Total,Missing,Mean,Meridian
48,2015,.7,42.0,31.7,12.8,6.8,2.3,1.3,1.6,.9,1474,10,9.6,6
49,2015,.3,8.9,48.9,25.9,8.2,4.8,1.5,.9,.7,892,1,12.8,10
50,2015,.5,53.7,29.4,10.6,2.3,1.1,.5,1.6,.3,639,4,7.3,5
51,2015,1.4,45.1,33.8,8.5,2.8,0.0,4.2,0.0,4.2,71,3,11.8,6
52,2015,11.1,33.3,33.3,22.2,0.0,0.0,0.0,0.0,0.0,9,10,5.9,6
1,2016,1.2,51.7,23.3,10.5,2.4,3.8,3.4,2.2,1.6,503,0,9.8,5
2,2016,24.7,26.0,22.4,12.8,7.7,2.2,.6,3.2,.3,312,1,8.4,5
3,2016,.3,38.1,41.3,12.1,4.2,1.8,1.1,1.0,.1,3634,20,8.6,7
4,2016,.4,33.2,36.0,16.4,6.9,2.4,.9,3.0,.8,758,0,10.6,8
5,2016,.7,24.6,38.3,19.9,9.1,3.4,1.9,1.7,.4,6528,14,11.3,9
6,2016,.2,20.4,42.5,20.8,8.4,2.7,1.4,2.2,1.4,809,30,12.1,9
7,2016,1.4,36.3,36.9,12.3,2.5,2.5,2.0,4.1,2.0,512,17,11.4,7
8,2016,1.0,34.3,40.4,15.2,6.1,3.0,0.0,0.0,0.0,99,0,8.5,8
9,2016,17.3,48.2,23.6,5.5,.9,.9,.9,.9,1.8,110,0,6.5,3
10,2016,.5,38.3,33.5,14.6,5.0,3.4,1.9,2.0,.8,3505,68,10.2,7
11,2016,.7,26.9,37.3,17.1,7.9,4.3,1.6,2.7,1.5,1094,27,12.2,9
12,2016,11.9,39.7,30.2,8.7,3.2,1.6,0.0,0.0,4.8,126,3,10.3,5
13,2016,0.0,22.2,45.4,24.9,2.7,2.2,.5,1.6,.5,185,0,10.1,8
14,2016,.2,7.2,35.9,27.4,11.9,5.4,3.9,6.5,1.6,1489,57,16.5,13
15,2016,6.7,17.9,29.9,21.7,9.3,5.0,3.0,5.3,1.0,1444,92,13.3,10
16,2016,.2,38.9,41.4,12.2,4.4,1.2,.4,.6,.6,929,63,8.6,6
17,2016,2.2,13.4,34.5,23.2,12.1,4.8,2.2,6.4,1.2,866,4,15.0,11
18,2016,0.0,24.2,45.6,15.7,7.2,3.3,1.6,1.7,.8,1104,0,11.1,8
19,2016,.1,57.1,29.6,6.8,2.4,1.2,.3,1.9,.6,723,4,7.2,5
20,2016,0.0,7.1,37.9,27.7,15.5,6.6,1.8,2.3,1.0,393,6,15.0,13
21,2016,3.3,52.6,23.0,12.7,3.9,2.2,0.0,1.7,.6,361,0,7.8,5
22,2016,.2,16.9,37.9,18.6,9.1,6.5,4.4,5.3,1.1,657,12,14.8,11
23,2016,.1,10.7,46.4,23.8,7.5,6.3,1.7,2.7,.8,1966,112,13.4,11
24,2016,0.0,13.3,42.3,23.7,6.9,6.8,2.2,4.0,.7,894,5,13.6,11
25,2016,0.0,23.5,42.0,20.8,5.5,5.8,1.3,.5,.8,400,0,11.3,9
