StateId,Year,Age_LT_1_YR,Age_1_YR,Age_2_YR,Age_3_YR,Age_4_YR,Age_5_YR,Age_6_YR,Age_7_YR,Age_8_YR,Age_0_TO_8_YR,Age_9_YR,Age_10_YR,Age_11_YR,Age_12_YR,Age_13_YR,Age_14_YR,Age_15_YR,Age_16_YR,Age_17_YR,Age_18_YR,Age_19_YR,Age_20_YR,Total,Missing,Mean,Meridian
32,2013,.6,11.0,12.9,10.6,8.4,8.1,8.1,4.8,5.2,69.7,5.5,5.8,4.8,2.9,1.6,4.2,2.9,1.3,1.3,0.0,0.0,0.0,310,0,6.3,5.0
33,2013,.3,4.5,10.3,12.4,10.9,9.8,7.8,5.9,5.6,67.5,4.7,5.2,4.7,4.1,3.0,2.9,2.5,2.2,1.3,1.1,.7,.2,2184,0,6.9,6.0
34,2013,2.0,8.6,13.3,10.0,10.4,7.6,7.4,6.0,5.5,70.7,6.5,4.2,2.9,3.9,3.5,2.5,2.5,2.1,1.0,.1,0.0,0.0,1222,0,6.3,5.0
35,2013,2.9,13.5,19.2,10.6,7.7,7.7,8.7,5.8,2.9,78.8,4.8,2.9,1.0,2.9,1.9,2.9,0.0,1.9,2.9,0.0,0.0,0.0,104,0,5.3,4.0
36,2013,4.8,14.8,14.9,10.7,8.8,7.3,5.5,5.4,4.3,76.4,3.6,3.0,2.7,3.8,2.3,2.3,2.3,1.7,1.8,.1,0.0,0.0,1244,0,5.5,4.0
37,2013,2.5,12.6,13.3,11.0,9.6,7.9,6.6,5.9,5.1,74.6,4.1,4.8,3.5,3.6,3.0,1.8,1.7,1.2,1.6,.1,0.0,0.0,1286,0,5.8,5.0
38,2013,.4,5.6,15.0,16.3,10.7,9.8,8.9,6.3,7.7,80.5,4.2,4.0,4.4,1.7,2.1,1.3,1.0,.8,0.0,0.0,0.0,0.0,768,0,5.5,5.0
39,2013,2.0,12.3,15.5,10.6,9.6,8.6,7.5,6.7,5.1,77.8,4.5,4.0,3.1,2.1,2.6,1.4,1.3,1.5,1.0,.3,.2,.2,1892,0,5.6,5.0
40,2013,3.7,17.3,22.2,9.9,5.6,8.0,4.3,5.6,4.9,81.5,3.1,4.9,1.9,1.9,2.5,1.2,1.2,1.2,.6,0.0,0.0,0.0,162,0,4.8,3.0
41,2013,2.4,11.9,11.9,7.9,9.1,6.1,8.5,5.7,6.1,69.6,5.7,3.2,4.0,3.2,3.2,3.0,1.6,3.6,3.2,0.0,0.0,0.0,506,0,6.5,6.0
42,2013,0.0,5.1,13.0,10.2,15.3,11.3,7.9,8.5,5.1,76.3,5.6,4.5,4.0,2.3,1.1,3.4,.6,1.1,1.1,0.0,0.0,0.0,177,0,6.0,5.0
43,2013,4.9,11.6,11.9,9.1,8.5,6.6,8.0,4.2,6.1,71.2,3.4,3.9,3.6,3.8,3.5,2.5,2.2,2.9,2.8,.2,0.0,0.0,1159,0,6.2,5.0
44,2013,1.5,12.6,15.3,11.4,9.5,8.0,6.7,5.9,4.8,75.7,4.4,4.3,3.7,2.5,2.1,2.1,1.7,1.7,1.6,.1,0.0,0.0,5443,0,5.7,4.0
